NU_ANO_CENSO,"Agricultura, silvicultura, pesca e veterinária",Artes e humanidades,"Ciências naturais, matemática e estatística","Ciências sociais, comunicação e informação",Computação e Tecnologias da Informação e Comunicação (TIC),Educação,"Engenharia, produção e construção","Negócios, administração e direito",Programas básicos,Saúde e bem-estar,Serviços
2011,40.0,1194.0,0.0,2316.0,2519.0,1164.0,1829.0,14978.0,0.0,10751.0,420.0
2012,138.0,1629.0,0.0,3550.0,3363.0,1801.0,3528.0,19694.0,0.0,15486.0,690.0
2013,318.0,1865.0,0.0,5107.0,3963.0,2359.0,6105.0,24507.0,0.0,21492.0,847.0
2014,521.0,2045.0,2.0,6544.0,5038.0,3785.0,9166.0,32523.0,0.0,27708.0,1133.0
2015,605.0,2182.0,2.0,7100.0,5198.0,4247.0,10859.0,37340.0,0.0,29876.0,1579.0
2016,731.0,1825.0,1.0,7139.0,5069.0,4708.0,11995.0,38290.0,0.0,31096.0,1593.0
2017,885.0,1436.0,2.0,8035.0,4647.0,5154.0,11948.0,39421.0,0.0,31883.0,1562.0
2018,1041.0,1250.0,6.0,7956.0,4805.0,8186.0,11901.0,40575.0,0.0,33313.0,2644.0
2019,1457.0,1546.0,51.0,7863.0,5138.0,13893.0,11938.0,43741.0,0.0,34247.0,4503.0
2020,1329.0,1875.0,149.0,7072.0,6291.0,16865.0,10173.0,47606.0,0.0,34844.0,7125.0
2021,1610.0,1692.0,132.0,6135.0,5694.0,14730.0,7322.0,39316.0,9.0,32684.0,6229.0
